count,-2
_,2,3,4,5,6,7,8,9,10,11
15,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,1,1
17,0,0,0,0,0,0,0,0,0,0
count,-1
_,2,3,4,5,6,7,8,9,10,11
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,1,1,1
17,0,0,0,0,0,0,0,0,0,0
count,0
_,2,3,4,5,6,7,8,9,10,11
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,1,0
16,0,0,0,0,0,0,0,1,1,1
17,0,0,0,0,0,0,0,0,0,0
count,2
_,2,3,4,5,6,7,8,9,10,11
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,1,1,1
16,0,0,0,0,0,0,0,1,1,1
17,0,0,0,0,0,0,0,0,0,0
count,4
_,2,3,4,5,6,7,8,9,10,11
14,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,1,1,1
16,0,0,0,0,0,0,1,1,1,1
17,0,0,0,0,0,0,0,0,0,0